Valor ,ISIN,UBS Long Name,Issuer Name,Asset Class,Instrument Category,Sub-Asset Class ,Instrument Ccy
42535525,LU1852197802,UBS Sustainable Investing Fund Yield - USD Q-acc,Multi Manager Access II SICAV - Sustainable Investing Yield,Others,Pooled vehicles,Asset all funds,USD
50073450,LU2050612154,JPMorgan Funds SICAV - Thematics - Genetic Therapies C2-USD-acc,JPMorgan Funds SICAV - Thematics - Genetic Therapies,Equities,Pooled vehicles,Common stock,USD
112156004,IE000UY4K5A0,UBS (Irl) Investor Selection Plc - O'Connor China Long/Short Alpha Strategies UCITS Q-PF,UBS (Irl) Investor Selection PLC - O'Connor China Long/Short Alpha Strategies UCITS,HF&PM,Pooled vehicles,Hedge funds,USD
113766580,LU2349435961,Select Inv. Series III SICAV - T. Rowe Price Responsible Health Sciences Eq. Fd Q-cap,Select Investment Series III SICAV - T. Rowe Price Health Sciences Equity Fund,Equities,Pooled vehicles,Common stock,USD
115096102,LU2367648859,Lumyna-Marshall Wace UCITS SICAV - TOPS UCITS Fund B-capitalisation,Lumyna-Marshall Wace UCITS SICAV - Lumyna-MW TOPS UCITS Fund,HF&PM,Pooled vehicles,Hedge funds,USD
125066657,XD1250666579,Blackstone Private Credit Fund iCap Offshore Access Fund SPC I-B-series C-distribution-SP4,Blackstone Private Credit Fund iCapital Offshore Access Fund SPC,HF&PM,Pooled vehicles,Private markets,USD
129578442,XS2700992204,Tracker Cert. UBS AG London 2023-18.10.2030 (ff.11.10.30) on UBS CIO Tech. Disrupt. EQ,"UBS AG, London Branch",Equities,Struct.prod.&wts,Common stock,USD
1079842,US9297401088,Reg.shs Westnghouse Air (WAB),Westinghouse Air Brake Technologies Corp (doing business as Wabtec Corp),Equities,Direct investments,Common stock,USD
567972,LU0072462426,BlackRock Global Funds SICAV - Global Allocation Fund A2-capitalisation,BlackRock Global Funds SICAV - Global Allocation Fund,Others,Pooled vehicles,Asset all funds,USD
16003554,KYG8551A1067,STRIPE 39 L.P.- Investing in Brookfield SREP III Total Capital Called,STRIPE 39 L.P.- Investing in Brookfield SREP III Total Capital Called,HF&PM,Pooled vehicles,Private markets,USD
16003553,QT0160035538,STRIPE 39 L.P.- Investing in Brookfield SREP III Net Commitment,STRIPE 39 L.P.- Investing in Brookfield SREP III Net Commitment,HF&PM,Pooled vehicles,Private markets,USD
115638086,US7802593050,Sponsored American Deposit Receipt Shell PLC (Repr 2 Shs)  (SHEL),Shell PLC,Equities,Direct investments,Common stock,EUR
16004833,QT0160048333,STRIPE 39 L.P.- Investing in Brookfield SREP III Unfunded Commitment,STRIPE 39 L.P.- Investing in Brookfield SREP III Net Commitment,HF&PM,Pooled vehicles,Private markets,USD
23606196,US47215P1066,Sponsored American Deposit Receipt JD.com Inc. (Repr. 2 shs  -A-)  (JD),JD.com Inc,Equities,Direct investments,Common stock,USD
16004007,KYG8551P1037,STRIPE 61 Ltd. - Investing in H.I.G. WhiteHorse Principal Outstanding Shares,STRIPE 61 Ltd. - Investing in H.I.G. WhiteHorse Principal Outstanding Shares,HF&PM,Pooled vehicles,Private markets,USD
16004006,QT0160040066,STRIPE 61 Ltd. - Investing in H.I.G. WhiteHorse Principal Net Commitment,STRIPE 61 Ltd. - Investing in H.I.G. WhiteHorse Principal Net Commitment,HF&PM,Pooled vehicles,Private markets,USD
16004008,QT0160040082,STRIPE 61 Ltd. - Investing in H.I.G. WhiteHorse Principal Unfunded Commitment,STRIPE 61 Ltd. - Investing in H.I.G. WhiteHorse Principal Unfunded Commitment,HF&PM,Pooled vehicles,Private markets,USD
16004058,KYG8551T1058,STRIPE 63 Ltd - Investing in Insight XI Outstanding Shares,STRIPE 63 Ltd. - Investing in Insight XI Outstanding Shares,HF&PM,Pooled vehicles,Private markets,USD
16004069,IE00BJRFWW63,STRIPE 65 - Investing in BREP Europe VI Outstanding Shares,STRIPE 65 - Investing in BREP Europe VI Outstanding Shares,HF&PM,Pooled vehicles,Private markets,EUR
16004068,QT0160040686,STRIPE 65 - Investing in BREP Europe VI Net Commitment,STRIPE 65 - Investing in BREP Europe VI Net Commitment,HF&PM,Pooled vehicles,Private markets,EUR
16004059,QT0160040595,STRIPE 63 Ltd - Investing in Insight XI Unfunded Commitment,STRIPE 63 Ltd. - Investing in Insight XI Unfunded Commitment,HF&PM,Pooled vehicles,Private markets,USD
16004070,QT0160040702,STRIPE 65 - Investing in BREP Europe VI Unfunded Commitment,STRIPE 65 - Investing in BREP Europe VI Unfunded Commitment,HF&PM,Pooled vehicles,Private markets,EUR
16004057,QT0160040579,STRIPE 63 Ltd. - Investing in Insight XI Net Commitment,STRIPE 63 Ltd. - Investing in Insight XI Net Commitment,HF&PM,Pooled vehicles,Private markets,USD
16004086,KYG853981085,STRIPE 66 Ltd - Investing in Clearlake CP VI Outstanding Shares,STRIPE 66 Ltd. - Investing in Clearlake CP VI Outstanding Shares,HF&PM,Pooled vehicles,Private markets,USD
16004085,QT0160040850,STRIPE 66 Ltd. - Investing in Clearlake CP VI Net Commitment,STRIPE 66 Ltd. - Investing in Clearlake CP VI Net Commitment,HF&PM,Pooled vehicles,Private markets,USD
16004087,QT0160040876,STRIPE 66 Ltd - Investing in Clearlake CP VI Unfunded Commitment,STRIPE 66 Ltd. - Investing in Clearlake CP VI Unfunded Commitment,HF&PM,Pooled vehicles,Private markets,USD
110004428,XD1100044282,Blackstone Real Estate Income Trust iCapital Offshore Access Fund SPC SP4 A-series C-dist,Blackstone Real Estate Income Trust iCapital Offshore Access Fund SPC,Real estate,Pooled vehicles,,USD
16004456,IE0002GMH078,STRIPE 87 - Investing in UBS PG Joint Initiative Outstanding Shares,STRIPE 87 - Investing in UBS PG Joint Initiative Outstanding Shares,HF&PM,Pooled vehicles,Private markets,USD
16004457,QT0160044571,STRIPE 87 - Investing in UBS PG Joint Initiative Unfunded Commitment,STRIPE 87 - Investing in UBS PG Joint Initiative Unfunded Commitment,HF&PM,Pooled vehicles,Private markets,USD
16004455,QT0160044555,STRIPE 87 - Investing in UBS PG Joint Initiative Net Commitment,STRIPE 87 - Investing in UBS PG Joint Initiative Net Commitment,HF&PM,Pooled vehicles,Private markets,USD
16004463,KYG8557M1042,STRIPE 90 - Investing in Insight XII Outstanding Shares,STRIPE 90 - Investing in Insight XII Outstanding Shares,HF&PM,Pooled vehicles,Private markets,USD
16004462,QT0160044621,STRIPE 90 - Investing in Insight XII Net Commitment,STRIPE 90 - Investing in Insight XII Net Commitment,HF&PM,Pooled vehicles,Private markets,USD
16004464,QT0160044647,STRIPE 90 - Investing in Insight XII Unfunded Commitment,STRIPE 90 - Investing in Insight XII Unfunded Commitment,HF&PM,Pooled vehicles,Private markets,USD
16005103,QT0160051030,STRIPE 121 - Class A Investing in Thoma Bravo XVI Net Commitment,STRIPE 121 - Class A Investing in Thoma Bravo XVI Net Commitment,HF&PM,Pooled vehicles,Private markets,USD
16005105,QT0160051055,STRIPE 121 - Class A Investing in Thoma Bravo XVI Unfunded Commitment,STRIPE 121 - Class A Investing in Thoma Bravo XVI Unfunded Commitment,HF&PM,Pooled vehicles,Private markets,USD
105196562,QT1051965627,Rev. Accumulator UBSG 2024-14.07.2025 (ff 10.07.25) 1810 (HKD 19.8419/14.778),"UBS AG, Singapore Branch",Equities,OTC ACCU & DEC,Common stock,HKD
105203686,QT1052036865,Rev. Accumulator UBSG 2024-21.07.2025 (ff 17.07.25) 1810 (HKD 20.4859/15.156),"UBS AG, Singapore Branch",Equities,OTC ACCU & DEC,Common stock,HKD
50267922,IE00BD71WL15,Algebris UCITS Funds Plc - Financial Credit Fund Cd-EUR,Algebris UCITS Funds PLC - Algebris Financial Credit Fund,Bonds,Pooled vehicles,Contingent Convertible Bond,EUR
110046151,XD1100461510,Blackstone Real Estate Income Trust iCapital Offshore Access Fund SPC SP 2 I-series C-dist,Blackstone Real Estate Income Trust iCapital Offshore Access Fund SPC,Real estate,Pooled vehicles,,USD
117747770,JE00BN4PS748,Kedge Focus Fund Limited A5-USD-acc,Kedge Focus Fund Limited,HF&PM,Pooled vehicles,Hedge funds,USD
507170,FR0000121014,Shs LVMH Moet Hennessy Louis Vuitton SE (MC),LVMH Moet Hennessy Louis Vuitton SE,Equities,Direct investments,Common stock,EUR
3106596,SG1V61937297,Reg.shs Singapore Airlines Ltd (C6L),Singapore Airlines Ltd,Equities,Direct investments,Common stock,SGD
779007,MYL2488OO004,Reg.shs Alliance Bank Malaysia Bhd   (ABMB),Alliance Bank Malaysia Bhd,Equities,Direct investments,Common stock,MYR
27956317,BMG9604B1090,Reg.shs Wuling Motors Holdings Ltd                    (305),Wuling Motors Holdings Ltd,Equities,Direct investments,Common stock,HKD
1211918,LU0122376428,BlackRock Global Funds SICAV - World Energy Fund A2-capitalisation,BlackRock Global Funds SICAV - World Energy Fund,Equities,Pooled vehicles,Common stock,USD
2598225,SG1T66931158,Stapled security CDL Hospitality Cons of 1 Tr Ut CDL Hosp REIT + 1 Tr Ut CDL Hos p BT (J85),CDL Hospitality Real Estate Investment Trust/CD L Hospitality Business Trust,Equities,Direct investments,Common stock,SGD
3390792,LU0239683559,Morgan Stanley Investment Funds SICAV - Global Brands Fund AX-distribution,Morgan Stanley Investment Funds SICAV - Global Brands Fund,Equities,Pooled vehicles,Common stock,USD
13212805,HK0000081932,Schroder Umbrella Fund II - Schroder Asian Asset Income Fund A-USD,Schroder Umbrella Fund II - Schroder Asian Asset Income Fund,Others,Pooled vehicles,Asset all funds,USD
19204421,SG2F08984575,Stapled Security Far East Hospitality Trust H-REIT + H-BT    (Q5T),Far East Hospitality Trust,Equities,Direct investments,Common stock,SGD
20086084,IE00B91X6F72,PIMCO Funds Global Investors Series Plc - Income Fund USD,PIMCO Funds Global Investors Series PLC - Income Fund,Bonds,Pooled vehicles,Others,USD
20240345,LU0868494708,UBS (Lux) Equity SICAV - US Total Yield Sust. (USD) P-dist,UBS (Lux) Equity SICAV - US Total Yield Sustainable (USD),Equities,Pooled vehicles,Common stock,USD
21929889,IE00BC9S3Z47,Franklin Templeton Gbl Fds plc - Western Asset Macro Opp. BD A-USD-acc,Franklin Templeton Global Funds PLC - FTGF Western Asset Macro Opportunities Bond Fund,HF&PM,Pooled vehicles,Hedge funds,USD
13195830,LU0629158030,Wellington Management Fds (Lux) III SICAV - Gbl Quality Growth Fd S-unhedged-capitalisation,Wellington Management Funds (Luxembourg) III SICAV - Wellington Global Quality Growth Fund,Equities,Pooled vehicles,Common stock,USD
50072717,LU2050612402,JPMorgan Funds SICAV - Thematics - Genetic Therapies A-USD-acc,JPMorgan Funds SICAV - Thematics - Genetic Therapies,Equities,Pooled vehicles,Common stock,USD
50872428,AU3CB0268159,2.65% Medium Term Notes Verizon Communications Inc. 2019-06.05.2030,Verizon Communications Inc,Bonds,Direct investments,Straight bonds,AUD
51215417,AU3CB0268357,2.95% Qantas Airways Ltd 2019-27.11.2029,Qantas Airways Ltd,Bonds,Direct investments,Straight bonds,AUD
56801443,AU3CB0274173,2.90% Medium Term Notes Aurizon Network Pty Ltd 2020-02.09.30,Aurizon Network Pty Ltd,Bonds,Direct investments,Straight bonds,AUD
58823722,AU3CB0276517,2.20% Medium Term Notes NBN Co. Ltd 2020-16.12.2030,NBN Co Ltd,Bonds,Direct investments,Straight bonds,AUD
110020110,XD1100201106,Blackstone Real Estate Income Trust iCapital Offshore Access Fund SPC I-series C-SP3-acc,Blackstone Real Estate Income Trust iCapital Offshore Access Fund SPC,Real estate,Pooled vehicles,,USD
59600014,CH0596000148,Perles UBS 2021-20.03.2028 (ff 13.03.28) Greentech glob. USD,UBS AG,Equities,Struct.prod.&wts,Common stock,USD
120696065,AU3CB0291284,6.322% MTN National Australia Bank Ltd 2022-03.08.2032 Fixed/Floating Rate,National Australia Bank Ltd,Bonds,Direct investments,Straight bonds,AUD
124130548,LU2571548747,Brookfield Oaktree Wealth Sol. Alt. Fd SA SICAV UCI Part II - Infr. Income Fund B-acc,Brookfield Oaktree Wealth Solutions Alternative Funds SA SICAV UCI Part II - Brookfield Infrastructure Income Fund,HF&PM,Pooled vehicles,Private markets,USD
124994912,XD1249949128,Blackstone Private Credit Fund iCap Offshore Access Fund SPC A-B-series C-acc-SP1,Blackstone Private Credit Fund iCapital Offshore Access Fund SPC,HF&PM,Pooled vehicles,Private markets,USD
126902046,AU3CB0299352,5.845% Notes Australia & New Zealand Banking Group Ltd 2023-16.05.2033,Australia & New Zealand Banking Group Ltd,Bonds,Direct investments,Straight bonds,AUD
128258112,XD1282581127,KKR Private Markets Equity Fund SICAV SA - K-PRIME Feeder-I N-series June 2023-cap.,KKR Private Markets Equity Fund SICAV SA - K-PRIME Feeder-I,HF&PM,Pooled vehicles,Private markets,USD
130257524,AU3CB0303543,5.762% Notes Woolworths Group Ltd 2023-18.04.2031,Woolworths Group Ltd,Bonds,Direct investments,Straight bonds,AUD
133981722,AU3CB0308146,5.408% Notes Ausgrid Finance Pty Ltd 2024-28.03.2031,Ausgrid Finance Pty Ltd,Bonds,Direct investments,Straight bonds,AUD
288080,CH0002880802,Metal account silver OZS Min.finess 999 Loco Zurich Pro Memoria,Metallkonto,PMC,Account,Precious metals,XAG
3371410,LU0319687124,Amundi Funds SICAV - Volatility World AU-capitalisation,Amundi Funds SICAV - Volatility World,HF&PM,Pooled vehicles,Hedge funds,USD
10627405,IE00B42NVC37,Polar Capital Funds Plc - Global Technology I-USD,Polar Capital Funds PLC - Global Technology Fund,Equities,Pooled vehicles,Common stock,USD
